,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
patch 9,0.1223,0.1426,0.1602,0.1654,0.1652,0.1607,0.1493,0.1368,0.1263,0.1144,0.0997,0.0911,0.0847,0.0707,0.0568,0.0525,0.0517,0.0462,0.04,0.0376,0.0383,0.0419,0.0537,0.0864,0.1275,0.1542,0.1733,0.1929,0.216,0.2422,0.2706,0.299,0.3265,0.3494,0.3667,0.3793
patch 10,0.0567,0.0614,0.0654,0.0665,0.0685,0.0702,0.073,0.0761,0.0834,0.0972,0.1232,0.1709,0.2564,0.3692,0.4775,0.5455,0.5677,0.5577,0.5295,0.4969,0.4576,0.4162,0.3771,0.3492,0.3331,0.3235,0.3166,0.3113,0.3116,0.3181,0.3282,0.3382,0.3464,0.3474,0.3408,0.337
patch 11,0.0547,0.0577,0.0591,0.0587,0.0583,0.0583,0.0585,0.0586,0.0608,0.0659,0.0729,0.0855,0.1126,0.15,0.2144,0.3129,0.3917,0.43,0.4583,0.5001,0.5495,0.5948,0.6258,0.6432,0.6524,0.6571,0.6616,0.6654,0.6701,0.6741,0.6776,0.6809,0.6866,0.6909,0.692,0.6923
patch 12,0.0755,0.0985,0.1472,0.1796,0.2092,0.2404,0.2732,0.288,0.2872,0.2665,0.2223,0.1683,0.1205,0.0875,0.0656,0.0533,0.0476,0.0445,0.0424,0.0415,0.0413,0.0412,0.0412,0.0413,0.0417,0.0424,0.0436,0.0452,0.0474,0.0493,0.0506,0.052,0.0552,0.0609,0.0694,0.0814
patch 13,0.0528,0.056,0.0581,0.0585,0.0595,0.0616,0.065,0.0686,0.0768,0.0924,0.1198,0.165,0.2319,0.2945,0.3281,0.331,0.3154,0.2894,0.2591,0.2282,0.1916,0.154,0.1233,0.1052,0.0967,0.0925,0.0899,0.0882,0.0896,0.0948,0.1026,0.111,0.1183,0.1206,0.1175,0.1162
patch 14,0.042,0.0436,0.0436,0.043,0.0432,0.0438,0.0445,0.0449,0.0472,0.0512,0.0539,0.0537,0.0524,0.0515,0.0519,0.0524,0.0521,0.0516,0.0534,0.0604,0.0763,0.1191,0.209,0.3379,0.467,0.5558,0.5998,0.6175,0.6261,0.6303,0.633,0.6349,0.6387,0.6414,0.6417,0.6416
patch 15,0.051,0.0535,0.0548,0.0548,0.056,0.0566,0.0582,0.0599,0.0643,0.0727,0.0876,0.1196,0.1984,0.3224,0.4516,0.5513,0.6127,0.6476,0.6691,0.6892,0.7029,0.7127,0.7173,0.7196,0.7218,0.7241,0.7274,0.7301,0.7349,0.7398,0.7435,0.7467,0.7531,0.7571,0.7571,0.7578
patch 16,0.1079,0.1538,0.269,0.3327,0.3544,0.3533,0.3309,0.3014,0.2721,0.245,0.2142,0.1842,0.1608,0.1415,0.1172,0.0953,0.0876,0.0905,0.0907,0.0974,0.1341,0.2139,0.3221,0.4292,0.508,0.5617,0.617,0.677,0.7298,0.765,0.7858,0.7979,0.8083,0.8147,0.8167,0.8179
patch 17,0.0687,0.1013,0.1727,0.2162,0.2407,0.2657,0.3017,0.3291,0.3627,0.4012,0.4246,0.4233,0.3997,0.3609,0.312,0.2584,0.2069,0.1596,0.1203,0.0937,0.077,0.0668,0.0591,0.0537,0.0509,0.0495,0.049,0.0497,0.0514,0.0524,0.052,0.0509,0.0491,0.0484,0.0506,0.0569
patch 18,0.1267,0.1921,0.4058,0.5959,0.7413,0.8081,0.8341,0.8381,0.8488,0.8618,0.8704,0.8761,0.8834,0.8899,0.8975,0.9014,0.904,0.9051,0.9032,0.9059,0.9056,0.9065,0.9067,0.9065,0.906,0.9048,0.9051,0.9048,0.9056,0.9048,0.9036,0.9025,0.9044,0.9046,0.903,0.9032
